Summary,Priority,Created,Resolved,Custom field (Category),Time took to resolve (Days)
"[Automation_degrade] 年収欄で数字以外を入力しても、エラーが表示されるが確認画面に遷移できる/If you enter anything other than a number in the annual income field, an error is displayed but you can go to the confirmation screen.",Critical,2025-05-13 16:43:00,2025-05-28 09:04:00,Bug,15
[Degrade] LC部門有のアンケートで、合計の回答予定者数を編集することができる/Total number of expected respondents can be edited for surveys with LC departments,Critical,2025-05-15 09:15:00,2025-05-30 22:19:00,Bug,15
"[SOxxx] Application deadline date each year, month, date are separated by '-' and there is no Japnaese text ‘year’, ‘month’, or ‘day’ text between those/ お申込み締切日の年月日が-で区切られていて、「年」「月」「日」の表示がない。",Major,2025-05-29 08:04:00,2025-06-13 22:07:00,Bug,15
"[SHyyy,SHyyy,SHyyy] The name of the sales office in the contact column of the survey flyer is missing after 26 digits/アンケートチラシの問合せ先欄の営業店名が26桁以降見切れる",Major,2025-06-10 21:40:00,2025-06-26 09:04:00,Omission in Epic validation,16
RPAの管理表を元にBH120で設定される項目が設定できない/Items to be set in BH120 based on RPA master file cannot be set,Minor,2025-06-10 09:00:00,2025-06-26 08:17:00,New requirement/Change request,16
健康習慣アンケート情報修正時のお知らせにカテゴリが設定されていない/Category is not set in the notification when modifying hpm survey information.,Major,2025-06-10 13:11:00,2025-06-26 17:41:00,Omission in Epic validation,16
"[Degrade] アンケート一覧からアンケート公開をした場合、アンケート詳細画面のステータスが「アンケート進行中」にならない/When a survey is publiSHyyyfrom the survey list, the status on the survey detail screen does not change to “survey in progress”",Critical,2025-05-14 17:26:00,2025-05-30 22:19:00,Bug,16
詳細画面にて変更を加えた際、一覧画面への反映が遅い/slow reflection on HPM approval list page,Critical,2025-06-09 19:01:00,2025-06-26 11:11:00,Doubt,17
Error message is displayed when clicking on the Feedback creation request button even when the count is reflected properly in the Number of expected respondents field/予想される回答者数フィールドにカウントが正しく反映されている場合でも、フィードバック作成リクエスト ボタンをクリックするとエラー メッセージが表示されます,Critical,2025-04-21 17:10:00,2025-05-08 15:38:00,Bug,17
"SOxxx - News Detail - When adding a double quote, an anti-slaSHyyyaracter is added next to it / ダブルクォーテーションを追加すると、その隣にバックスラッシュ文字が追加されます",Major,2025-05-30 08:33:00,2025-06-16 08:31:00,Bug,17
"[Degrade]  [SHyyy, 190] Table layout on the detail screen collapses when the EngliSHyyympany name is edited beyond 32 characters/英語会社名が32文字を超えて編集すると、詳細画面の表レイアウトが崩れる",Minor,2025-05-31 23:39:00,2025-06-18 11:24:00,Bug,18
The button to output the survey flyer does not work in Indicator1 (survey ready) (flyer is not output)/アンケートチラシを出力するボタンがIndicator1(アンケート準備完了)で機能しない(チラシが出力されない),Blocker,2025-03-28 20:38:00,2025-04-15 10:20:00,Bug,18
"SHyyy - News Creation - When creating news for both the Sales and Owner portals without selecting a category, a 'Top Page Header' error message is displayed / カテゴリを選択せずにセールスポータルとオーナーポータルの両方にニュースを作成すると、「トップページヘッダー」エラーメッセージが表示されます",Critical,2025-05-23 15:38:00,2025-06-10 08:58:00,Bug,18
SHyyy-News Creation - A red star SHyyyd be displayed to indicate Mandatory Fields / 必須フィールドを示すために赤い星が表示されるべきです,Major,2025-05-23 11:06:00,2025-06-10 08:52:00,Doubt,18
Unable to create Feedback SHyyy when there are symbols entered in the EngliSHyyympany name field/英語表記会社名欄に記号があったらフィードバックシートシート作成が失敗になります。,Major,2025-04-18 15:12:00,2025-05-06 16:45:00,Bug,18
"When you click the [view the entire VoiceReport page] button on the OwnerPortal's voice report page, the message [404 Not Found] is displayed/OwnerPortalのVoiceReportページに全体を公開サイトで見るボタンをクリックすると[404 Not Found]が表示されています。",Critical,2025-05-08 22:51:00,2025-05-27 02:00:00,Bug,19
"When changing the list menu for industry or whether or not to create an EngliSHyyyrsion, other values ​​being edited in the same section will revert to the value before the change/業種、または英語版作成要否のリストメニューを変更すると、同じセクションの編集中のほか値が変更前に戻ってしまう",Blocker,2025-04-04 23:41:00,2025-04-23 12:02:00,Bug,19
The notification text when outputting the Sales Portal survey remains the same as it was in R6/セールスポータル・アンケート出力時のお知らせ文言がR6時のまま,Critical,2025-03-27 12:31:00,2025-04-15 22:27:00,Omission in Epic validation,19
“for dear all” in the title and address of the survey flyer is not displayed/アンケートチラシのタイトル・宛先の「のみなさま」が表示されない,Critical,2025-03-27 12:26:00,2025-04-15 22:22:00,Bug,19
"In SHyyy, the text ""KK"" is displayed in the Feedback SHyyy creation request button/SHyyyでは、「KK」というテキストがフィードバックシート作成依頼ボタンと一緒に表示されています。",Major,2025-04-25 21:01:00,2025-05-15 14:06:00,Bug,20
日本語、英語版のタイトルがずれている/Japanese and EngliSHyyyrsions of the survey flyer have misplaced titles.,Major,2025-06-06 14:52:00,2025-06-26 11:31:00,New requirement/Change request,20
"[SOxxx] Sentenses does not have line-break, when there is 0 HPM application records/優良法人申請レコード0件時の文言が改行されていない",Minor,2025-05-29 08:14:00,2025-06-18 12:50:00,Bug,20
"Two unnecessary R6 phrases remain in the survey design input screen (SHyyy, 140)/アンケート作成入力画面(SHyyy, 140)にて、不要なR6の文言が2か所残っている。",Major,2025-03-26 13:25:00,2025-04-15 22:12:00,Bug,20
Unnecessary ’/n' is included in the header of the survey type selection screen (SHyyy)/アンケート種類選択画面(SHyyy)のヘッダに不要な/nが含まれている,Major,2025-03-26 12:32:00,2025-04-15 22:03:00,Bug,20
"[SOxxx] In the list of applications at the time of application completed, the right text are not line-breaked making them SOxxxhat difficult to read for users/申込完了時の申請一覧・右文言が改行されていない為、ユーザにとってやや読みづらい",Minor,2025-05-23 08:17:00,2025-06-12 21:26:00,Bug,20
言語切り替えチラシの解像度が低い。The reSOxxxion of the language switching flyer is low.,Major,2025-06-05 21:37:00,2025-06-26 11:32:00,Misunderstanding,21
言語切り替えチラシの問い合わせ欄が表示されていない/Language switch flyer Contact field is not displayed.,Major,2025-06-05 21:35:00,2025-06-26 11:28:00,Misunderstanding,21
外国語版の事業所内連絡先の漢字が中国語になっている。/ Character of foreign flyer is written by Chinese,Minor,2025-06-05 21:32:00,2025-06-26 11:32:00,Bug,21
アンケートチラシに不要な線が表示されている/Unnecessary lines is SHyyy on the survey flyer.,Minor,2025-06-05 21:24:00,2025-06-26 11:29:00,Bug,21
[Degrade] - SOxxx - News Creation - Updated date on News Creation and registration date acting weirdly on Owner Portal / ニュース作成の更新日と登録日はオーナーポータルで異常に挙動しています,Critical,2025-06-10 17:28:00,2025-07-01 08:10:00,Bug,21
"SOxxx - After more than 30 minutes in the list of HPM approval applications, when the year drop-down is re-selected the application record is displayed with all fields with '-'/優良法人申請一覧で30分以上経過後、年度のドロップダウンを再選択すると全項目が-の状態で優良法人申請レコードが表示される",Major,2025-06-06 23:07:00,2025-06-28 22:57:00,Doubt,22
"SOxxx - Cockpitから全部の申請を取り下げすると、申込チェック対象が0件の場合のメッセージが表示されていない/When all applications are withdrawn from the cockpit, the message indicating that there are no applications available　is not displayed.",Major,2025-05-29 02:29:00,2025-06-20 17:41:00,Bug,22
公開前のアンケート修正お知らせが、オーナポータルに表示される/Pre-publication survey modification notices appear in the Owner Portal,Critical,2025-05-19 08:26:00,2025-06-11 01:39:00,Omission in Epic validation,23
Error message appears when updating the number of survey responses/アンケートの回答数を更新すると、エラーメッセージが表示される,Critical,2025-03-30 21:02:00,2025-04-23 11:22:00,Bug,24
"SOxxx - News List - In the '年度' filter the new year SHyyyd be added every April 1st, not on January 1st / '年度'フィルターでは、新年は1月1日ではなく、4月1日に追加されるべきです",Major,2025-06-02 17:21:00,2025-06-26 16:52:00,Bug,24
" [SHyyy] When creating feedback with a seminar, feedback confirmation screen is not closed when error message indicating seminar creation failed/セミナー付でフィードバックを作成時セミナー作成失敗のエラーメッセージが表示された場合、フィードバック確認画面が閉じられない",Major,2025-06-03 23:33:00,2025-06-28 22:57:00,Bug,25
An error message appears when the department name and perSOxxxn charge name are not entered/部署名、ご担当者様氏名の未入力のエラーメッセージが表示される,Critical,2025-04-04 23:31:00,2025-05-01 14:29:00,Bug,27
"In case phone no. exceeds 12 digits or Zip code exceeds 8 digits, error message says 'In case digits exceeds xx,' and no sentenses are displayed after that/電話番号の入力が12桁、また郵便番号の入力が8桁を超える場合「XX文字を超えた場合」というエラーメッセージが表示され、それ以降の文章が表示されない",Critical,2025-04-04 23:18:00,2025-05-01 15:12:00,Bug,27
The password generated when creating the survey causes an error when logging in to the summary page (both Owner Portal and Sales Portal)/アンケート作成時に生成されたパスワードが、サマリページログイン時にエラーになる(オーナポータル、セールスポータルともに),Critical,2025-03-26 10:20:00,2025-04-23 12:59:00,Bug,28
[SOxxx] Blanks and length of the upper right material buttons and supplements on the screen slightly different from US/画面右上資料ボタンと補足の空白や、長さがUSとやや異なる,Minor,2025-05-23 08:58:00,2025-06-20 18:12:00,Bug,28
The date format is displayed as YYYY-MM-DD rather than YYYY/MM/DD/日付形式はYYYY-MM-DDで表示されています,Major,2025-05-15 02:11:00,2025-06-12 14:02:00,Bug,28
RPA Processing Date_Feedback SHyyy in HPM DB is different from the time the feedback was created with the target survey ID/HPM DBのRPA処理日_フィードバックシートが、対象アンケートIDでフィードバックを作成した時間と異なる,Major,2025-05-30 21:00:00,2025-06-28 21:41:00,Bug,29
"When publiSHyyya survey from the list and go to the list of surveys in Owner portal, updated response date becomes '?'/アンケート一覧からアンケートを公開して、オーナポータルのアンケート一覧に遷移すると回答数更新日が'?'になる",Critical,2025-04-02 20:50:00,2025-05-02 20:49:00,Bug,30
"[Degrade] In the list of completed questionnaires, press the refreSHyyytton and the ‘object object object’ will appear around the pie chart/アンケート準備完了のアンケートが表示されている一覧で、更新ボタンを押すと パイチャート周囲に'object Object'が表示される",Critical,2025-04-02 20:39:00,2025-05-02 21:29:00,Bug,30
One extra blank page is printed out on the Japanese version of the survey flyer/日本語版のアンケートチラシで余分な空白ページが1枚出力される,Critical,2025-03-26 11:10:00,2025-04-25 18:55:00,Bug,30
"MO060 -The font size in the email is incorrect, and the line spacing is excessive/MO060 -メールのフォントサイズが不適切で、行間が広すぎます",Major,2025-04-25 20:49:00,2025-05-27 15:21:00,Bug,32
SHyyy画面_検索結果の法人・団体名が30桁までのみ表示されている/SHyyy screen_The names of corporations and organizations in the search results are displayed only up to 30 digits,Major,2025-05-12 16:16:00,2025-06-13 22:11:00,Bug,32
Survey flyer creation complete toast does not disappear like other toast messages after it is displayed/アンケートチラシ作成完了のトーストが表示後、他トーストメッセージのように消えない,Major,2025-03-26 11:45:00,2025-04-28 22:17:00,Bug,33
RPA_Annual process date is blank even after annual date chart is created to respective survey ID at HPM DB /HPM DBのRPA処理日_経年評価表が、対象アンケートIDで経年評価表を作成していても空白になっている,Critical,2025-05-07 22:42:00,2025-06-11 00:03:00,Bug,35
The entry validation check for expected respondents etc are not correct/回答者予定者数等の入力チェックが正しくない,Major,2025-04-23 19:08:00,2025-05-28 17:31:00,Bug,35
Creation date does not align with the form generation date in the Annual Chart download/publiSHyyypup/経年評価表のダウンロード・公開ポップアップにおいて、作成日が帳票システム日付と一致していない。,Major,2025-04-29 02:30:00,2025-06-04 02:36:00,Bug,36
SHyyy画面_上部文言の末尾行インデントがない/SHyyy screen_no trailing line indent in upper text,Minor,2025-05-12 16:09:00,2025-06-19 13:46:00,Omission in Epic validation,38
"If you enter your annual income in full-width characters, no errors will be displayed for each item, but a correction error message will be displayed when you save/全角で年収を入力すると、項目別のエラーは出ず保存時に修正エラーのメッセージが表示される",Major,2025-04-19 16:06:00,2025-05-28 09:10:00,Bug,39
SHyyy- On clicking send button an error message is not displayed when a user navigates away from the screen or remains inactive for more than 30 minutes/SHyyy - ユーザーが画面から離れるか、30分以上非アクティブになると送信ボタンを押下する時エラーメッセージが表示されない,Major,2025-04-26 03:33:00,2025-06-04 01:11:00,Misunderstanding Issues on ALJ side,39
MHzzz-Links are not embedded in the email /MHzzz -メールにリンクが埋め込まれていない,Major,2025-04-24 20:02:00,2025-06-04 18:20:00,New requirement/Change request,41
